;;;;;;;;Playing Time;Playing Time;Playing Time;;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Save%;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born;Playing Time MP;Playing Time Starts;Playing Time Min; 90s;Performance GA;Performance GA90;Performance SoTA;Performance Saves;Performance Save%;Performance W;Performance D;Performance L;Performance CS;Performance CS%;Penalty Kicks PKatt;Penalty Kicks PKA;Penalty Kicks PKsv;Penalty Kicks PKm;Penalty Kicks Save%; Matches;#NAME?
76;Lennart Grill;de GER;GK;Leverkusen;de Bundesliga;21;1999;4;4;360;4.0;1.75;1.75;5.25;3.50;66.7;0.25;0.00;0.75;0.25;25.0;0.00;0.00;0.00;0.00;;Matches;37998008
77;Vicente Guaita;es ESP;GK;Crystal Palace;eng Premier League;33;1987;37;37;3330;37.0;1.73;1.73;4.57;2.81;63.9;0.30;0.22;0.49;0.22;21.6;0.11;0.08;0.03;0.00;25.0;Matches;ab13a5aa
78;Péter Gulácsi;hu HUN;GK;RB Leipzig;de Bundesliga;30;1990;33;33;2970;33.0;0.91;0.91;2.42;1.52;66.3;0.58;0.24;0.18;0.45;45.5;0.09;0.09;0.00;0.00;0.0;Matches;bcb2ccd8
79;Samir Handanovi?;si SVN;GK;Inter;it Serie A;36;1984;37;37;3240;36.0;0.92;0.92;3.06;2.11;73.6;0.75;0.19;0.08;0.39;37.8;0.17;0.11;0.06;0.00;33.3;Matches;74419746
80;Dean Henderson;eng ENG;GK;Manchester Utd;eng Premier League;23;1997;13;12;1125;12.5;0.96;0.96;4.08;3.12;76.5;0.72;0.16;0.08;0.32;33.3;0.00;0.00;0.00;0.00;;Matches;e5a76dfe
81;Sergio Herrera;es ESP;GK;Osasuna;es La Liga;27;1993;33;32;2958;32.9;1.22;1.22;3.83;2.61;71.4;0.30;0.24;0.43;0.30;31.3;0.21;0.12;0.06;0.03;33.3;Matches;a4995f48
82;Marwin Hitz;ch SUI;GK;Dortmund;de Bundesliga;32;1987;16;16;1395;15.5;1.03;1.03;2.84;1.87;68.2;0.71;0.13;0.19;0.45;43.8;0.13;0.13;0.00;0.00;0.0;Matches;2e7ff968
83;Timo Horn;de GER;GK;Köln;de Bundesliga;27;1993;34;34;3009;33.4;1.77;1.76;4.64;2.84;66.5;0.24;0.27;0.51;0.15;14.7;0.24;0.21;0.03;0.00;12.5;Matches;3cd9e95a
84;Lukáš Hrádecký;fi FIN;GK;Leverkusen;de Bundesliga;30;1989;29;29;2565;28.5;1.02;1.02;2.91;1.93;66.3;0.46;0.32;0.25;0.28;27.6;0.07;0.04;0.04;0.00;50.0;Matches;ad3389d5
85;Rune Jarstein;no NOR;GK;Hertha BSC;de Bundesliga;35;1984;8;8;720;8.0;1.63;1.62;4.13;2.50;63.6;0.25;0.13;0.63;0.13;12.5;0.25;0.13;0.13;0.00;50.0;Matches;27d2618c
86;Sam Johnstone;eng ENG;GK;West Brom;eng Premier League;27;1993;37;37;3330;37.0;2.00;2.00;6.32;4.38;71.4;0.11;0.30;0.59;0.16;16.2;0.30;0.19;0.03;0.08;12.5;Matches;9e5708be
87;Bingourou Kamara;sn SEN;GK;Strasbourg;fr Ligue 1;23;1996;8;8;720;8.0;1.75;1.75;4.00;2.38;59.4;0.25;0.00;0.75;0.25;25.0;0.13;0.13;0.00;0.00;0.0;Matches;3814120d
88;Loris Karius;de GER;GK;Union Berlin;de Bundesliga;27;1993;4;3;292;3.2;0.31;0.31;1.25;1.25;75.0;0.31;0.63;0.00;0.63;66.7;0.00;0.00;0.00;0.00;;Matches;32e7ce92
