;;;;;;;;;Total;Total;Total;Total;Total;Short;Short;Short;Medium;Medium;Medium;Long;Long;Long;;;;;;;;;;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Ast;xAG;xA;A-xAG;KP;01-mars;PPA;CrsPA;PrgP;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born; 90s;Total Cmp;Total Att;Total Cmp%;Total TotDist;Total PrgDist;Short Cmp;Short Att;Short Cmp%;Medium Cmp;Medium Att;Medium Cmp%;Long Cmp;Long Att;Long Cmp%; Ast; xAG; xA; A-xAG; KP; 44986; PPA; CrsPA; PrgP; Matches;#NAME?
185;Abdoulaye Bamba;ci CIV;DF;Angers;fr Ligue 1;30;1990;15.0;43.3;58.3;74.3;677.9;327.3;23.9;26.5;89.9;14.9;19.9;74.8;3.07;7.87;39.0;0.00;0.09;0.09;-0.09;0.53;3.13;0.73;0.33;3.53;Matches;7fecbcdb
186;Jonathan Bamba;fr FRA;MF;Lille;fr Ligue 1;24;1996;33.2;39.3;50.6;77.7;577.0;147.6;22.6;25.3;89.3;11.3;14.2;79.2;3.13;6.33;49.5;0.27;0.15;0.16;0.12;1.93;2.83;1.30;0.27;3.86;Matches;b2bd0f6c
187;Robson Bambu;br BRA;DF;Nice;fr Ligue 1;22;1997;11.6;62.1;71.3;87.1;1150.3;407.8;22.9;24.6;93.3;33.8;36.5;92.7;5.00;8.28;60.4;0.00;0.00;0.01;0.00;0.00;1.64;0.00;0.00;1.81;Matches;d4fa7d01
188;Patrick Bamford;eng ENG;FW;Leeds United;eng Premier League;26;1993;33.9;11.6;15.2;76.4;129.1;24.5;7.02;8.55;82.1;2.51;3.27;76.6;0.18;0.29;60.0;0.21;0.10;0.05;0.10;0.88;0.53;0.32;0.03;0.91;Matches;93feac6e
189;Mattia Bani;it ITA;DF;Genoa;it Serie A;26;1993;10.2;43.4;51.9;83.7;856.3;320.6;13.9;16.0;87.1;23.1;25.3;91.5;5.69;8.63;65.9;0.00;0.02;0.02;-0.02;0.20;1.37;0.20;0.10;1.47;Matches;0821331c
190;Mattia Bani;it ITA;DF;Parma;it Serie A;26;1993;12.7;49.8;56.1;88.9;1024.6;337.0;13.1;14.7;89.3;30.1;31.3;96.0;6.22;9.06;68.7;0.00;0.03;0.02;-0.03;0.16;1.81;0.16;0.08;2.52;Matches;0821331c
191;Simon Banza;fr FRA;FW;Lens;fr Ligue 1;23;1996;15.2;15.0;21.1;71.0;216.6;38.2;7.70;10.5;73.6;5.46;6.64;82.2;0.86;1.38;61.9;0.13;0.14;0.09;-0.01;0.79;1.84;0.46;0.13;2.24;Matches;be47b750
192;Antonín Barák;cz CZE;MF;Hellas Verona;it Serie A;25;1994;30.7;33.1;42.7;77.6;531.6;136.8;17.0;20.5;83.1;12.9;15.5;83.0;2.18;3.39;64.4;0.10;0.07;0.07;0.03;0.78;4.10;0.85;0.07;4.79;Matches;01efac19
193;Federico Barba;it ITA;DF;Benevento;it Serie A;26;1993;29.5;37.1;47.3;78.4;650.0;255.3;15.8;17.9;88.2;16.8;20.5;81.8;3.42;6.71;51.0;0.07;0.05;0.04;0.02;0.44;1.90;0.47;0.14;2.71;Matches;c010b898
194;Danilo Barbosa;br BRA;DF;Nice;fr Ligue 1;24;1996;2.8;63.6;72.5;87.7;1222.1;409.6;17.1;20.0;85.7;42.5;43.9;96.7;3.57;7.14;50.0;0.00;0.00;0.00;0.00;0.00;2.14;0.00;0.00;3.93;Matches;0557ff4f
195;Barcia;es ESP;DF;Granada;es La Liga;19;2000;1.0;13.0;33.0;39.4;249.0;81.0;7.00;10.0;70.0;4.00;15.0;26.7;2.00;6.00;33.3;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;2.00;Matches;0c717ae6
196;Melvin Bard;fr FRA;DF;Lyon;fr Ligue 1;19;2000;4.8;64.4;80.2;80.3;949.4;289.4;37.3;42.1;88.6;25.2;29.8;84.6;1.25;5.63;22.2;0.00;0.08;0.08;-0.08;0.83;4.79;1.25;0.63;6.25;Matches;1ddbc7ca
197;Enis Bardhi;mk MKD;MF;Levante;es La Liga;25;1995;18.7;35.1;47.5;73.9;617.1;174.3;16.2;18.3;88.6;12.6;16.4;77.1;4.44;8.29;53.5;0.11;0.06;0.08;0.05;1.12;3.37;1.44;0.53;6.26;Matches;cac2537b
198;Phil Bardsley;sct SCO;DF;Burnley;eng Premier League;35;1985;3.0;34.7;54.0;64.2;571.0;213.3;16.7;18.7;89.3;13.7;21.0;65.1;3.67;10.0;36.7;0.00;0.00;0.03;0.00;0.00;2.00;1.33;0.67;3.33;Matches;1ae30132
199;Nicolò Barella;it ITA;MF;Inter;it Serie A;23;1997;32.2;49.4;60.0;82.4;779.5;261.6;26.4;29.0;90.9;17.5;20.6;85.2;3.82;6.24;61.2;0.22;0.18;0.15;0.04;1.46;5.65;2.05;0.31;8.11;Matches;6928979a
