;;;;;;;;Playing Time;Playing Time;Playing Time;;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Save%;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born;Playing Time MP;Playing Time Starts;Playing Time Min; 90s;Performance GA;Performance GA90;Performance SoTA;Performance Saves;Performance Save%;Performance W;Performance D;Performance L;Performance CS;Performance CS%;Penalty Kicks PKatt;Penalty Kicks PKA;Penalty Kicks PKsv;Penalty Kicks PKm;Penalty Kicks Save%; Matches;#NAME?
61;Andrés Fernández;es ESP;GK;Villarreal;es La Liga;31;1986;6;6;540;6.0;1.17;1.17;3.83;2.67;73.9;0.50;0.33;0.17;0.33;33.3;0.17;0.17;0.00;0.00;0.0;Matches;307fcd26
62;Mark Flekken;nl NED;GK;Freiburg;de Bundesliga;25;1993;1;1;90;1.0;1.00;1.00;5.00;4.00;80.0;1.00;0.00;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;a92ab7be
63;Fraser Forster;eng ENG;GK;Southampton;eng Premier League;30;1988;1;1;90;1.0;3.00;3.00;6.00;3.00;50.0;0.00;0.00;1.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;c3e39f12
64;Ben Foster;eng ENG;GK;Watford;eng Premier League;35;1983;38;38;3420;38.0;1.55;1.55;4.74;3.24;69.4;0.37;0.21;0.42;0.18;18.4;0.13;0.11;0.03;0.00;20.0;Matches;d0b3ceb9
65;Pierluigi Frattali;it ITA;GK;Parma;it Serie A;32;1985;1;1;90;1.0;2.00;2.00;8.00;7.00;75.0;0.00;0.00;1.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;71dac2c2
66;Alberto García;es ESP;GK;Rayo Vallecano;es La Liga;33;1985;17;17;1530;17.0;2.06;2.06;5.12;2.94;60.9;0.18;0.24;0.59;0.24;23.5;0.24;0.06;0.18;0.00;75.0;Matches;17d9e354
67;Paulo Gazzaniga;ar ARG;GK;Tottenham;eng Premier League;26;1992;3;3;270;3.0;0.67;0.67;4.33;3.67;84.6;0.67;0.00;0.33;0.33;33.3;0.00;0.00;0.00;0.00;;Matches;63d17038
68;David de Gea;es ESP;GK;Manchester Utd;eng Premier League;27;1990;38;38;3420;38.0;1.42;1.42;4.50;3.16;71.9;0.50;0.24;0.26;0.18;18.4;0.16;0.16;0.00;0.00;0.0;Matches;7ba6d84e
69;Fabian Giefer;de GER;GK;Augsburg;de Bundesliga;28;1990;4;4;360;4.0;1.75;1.75;4.75;3.00;63.2;0.25;0.25;0.50;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;fbefefdb
70;Mauro Goicoechea;uy URU;GK;Toulouse;fr Ligue 1;30;1988;8;7;712;7.9;1.52;1.52;4.43;2.91;68.6;0.25;0.38;0.25;0.38;42.9;0.13;0.13;0.00;0.00;0.0;Matches;132bb875
71;Pierluigi Gollini;it ITA;GK;Atalanta;it Serie A;23;1995;20;20;1800;20.0;1.05;1.05;3.50;2.45;74.3;0.55;0.30;0.15;0.20;20.0;0.15;0.15;0.00;0.00;0.0;Matches;f0f7f62f
72;Alfred Gomis;sn SEN;GK;SPAL;it Serie A;24;1993;20;19;1723;19.2;1.41;1.41;3.96;2.55;65.8;0.16;0.31;0.52;0.31;31.6;0.05;0.05;0.00;0.00;0.0;Matches;cecbce23
73;Mathieu Gorgelin;fr FRA;GK;Lyon;fr Ligue 1;27;1990;4;4;360;4.0;1.25;1.25;3.75;2.50;66.7;0.75;0.00;0.25;0.25;25.0;0.00;0.00;0.00;0.00;;Matches;4d3e9033
74;Vicente Guaita;es ESP;GK;Crystal Palace;eng Premier League;31;1987;20;20;1755;19.5;1.18;1.18;4.36;3.23;74.1;0.51;0.21;0.31;0.36;35.0;0.05;0.05;0.00;0.00;0.0;Matches;ab13a5aa
75;Guido Guerrieri;it ITA;GK;Lazio;it Serie A;22;1996;1;1;90;1.0;3.00;3.00;4.00;1.00;25.0;0.00;1.00;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;77e401c7
76;Péter Gulácsi;hu HUN;GK;RB Leipzig;de Bundesliga;28;1990;33;33;2925;32.5;0.83;0.83;3.60;2.80;80.3;0.58;0.28;0.15;0.46;45.5;0.15;0.12;0.00;0.03;0.0;Matches;bcb2ccd8
77;Angus Gunn;eng ENG;GK;Southampton;eng Premier League;22;1996;12;12;1080;12.0;1.50;1.50;4.17;2.58;64.0;0.33;0.33;0.33;0.25;25.0;0.08;0.00;0.08;0.00;100.0;Matches;e082af5b
78;Régis Gurtner;fr FRA;GK;Amiens;fr Ligue 1;31;1986;38;38;3420;38.0;1.37;1.37;4.37;3.00;72.3;0.24;0.29;0.47;0.29;28.9;0.24;0.16;0.05;0.03;25.0;Matches;bc270726
79;Ben Hamer;eng ENG;GK;Huddersfield;eng Premier League;30;1987;7;7;553;6.1;3.44;3.42;6.89;3.61;57.1;0.00;0.16;0.98;0.00;0.0;0.49;0.49;0.00;0.00;0.0;Matches;d822a850
80;Samir Handanovi?;si SVN;GK;Inter;it Serie A;34;1984;38;38;3420;38.0;0.87;0.87;3.34;2.55;76.4;0.53;0.24;0.24;0.45;44.7;0.13;0.08;0.00;0.05;0.0;Matches;74419746
81;Joe Hart;eng ENG;GK;Burnley;eng Premier League;31;1987;19;19;1710;19.0;2.16;2.16;6.11;3.95;65.5;0.16;0.16;0.68;0.21;21.1;0.11;0.05;0.05;0.00;50.0;Matches;cb4f24c6
82;Tom Heaton;eng ENG;GK;Burnley;eng Premier League;32;1986;19;19;1710;19.0;1.42;1.42;4.37;3.11;68.7;0.42;0.21;0.37;0.21;21.1;0.05;0.05;0.00;0.00;0.0;Matches;a6de6361
83;Wayne Hennessey;wls WAL;GK;Crystal Palace;eng Premier League;31;1987;18;17;1575;17.5;1.49;1.49;3.94;2.40;66.7;0.23;0.17;0.57;0.29;29.4;0.23;0.17;0.06;0.00;25.0;Matches;76eca7e2
84;Iago Herrerín;es ESP;GK;Athletic Club;es La Liga;30;1988;31;31;2790;31.0;1.03;1.03;2.81;1.77;66.7;0.39;0.32;0.29;0.32;32.3;0.10;0.10;0.00;0.00;0.0;Matches;9109185e
85;Marwin Hitz;ch SUI;GK;Dortmund;de Bundesliga;30;1987;2;2;180;2.0;2.00;2.00;3.00;1.00;33.3;1.00;0.00;0.00;0.00;0.0;0.50;0.00;0.00;0.50;;Matches;2e7ff968
86;Lukáš Hrádecký;fi FIN;GK;Leverkusen;de Bundesliga;28;1989;32;32;2880;32.0;1.47;1.47;3.97;2.53;65.4;0.56;0.13;0.31;0.28;28.1;0.13;0.09;0.03;0.00;25.0;Matches;ad3389d5
87;Salvador Ichazo;uy URU;GK;Torino;it Serie A;26;1992;3;2;250;2.8;0.71;0.72;3.21;2.50;88.9;0.36;0.36;0.00;0.36;50.0;0.36;0.36;0.00;0.00;0.0;Matches;514f0896
88;Gorka Iraizoz;es ESP;GK;Girona;es La Liga;37;1981;7;6;558;6.2;1.61;1.61;6.29;4.84;79.5;0.16;0.00;0.81;0.16;16.7;0.32;0.32;0.00;0.00;0.0;Matches;26f2473f
89;Jandrei;br BRA;GK;Genoa;it Serie A;25;1993;1;1;90;1.0;1.00;1.00;3.00;2.00;66.7;0.00;0.00;1.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;85ea4399
90;Rune Jarstein;no NOR;GK;Hertha BSC;de Bundesliga;33;1984;31;31;2745;30.5;1.57;1.57;4.69;3.15;67.8;0.30;0.33;0.39;0.26;25.8;0.13;0.07;0.03;0.03;33.3;Matches;27d2618c
91;Karl-Johan Johnsson;se SWE;GK;Guingamp;fr Ligue 1;28;1990;17;17;1530;17.0;2.00;2.00;4.59;2.53;59.0;0.06;0.29;0.65;0.24;23.5;0.24;0.12;0.06;0.06;33.3;Matches;a56bd2ee
92;Aleksandar Jovanovi?;rs SRB;GK;Huesca;es La Liga;25;1992;12;12;1080;12.0;1.58;1.58;3.83;2.33;63.0;0.08;0.33;0.58;0.00;0.0;0.17;0.17;0.00;0.00;0.0;Matches;129dd8e7
93;Stefanos Kapino;gr GRE;GK;Werder Bremen;de Bundesliga;24;1994;1;0;45;0.5;2.00;2.00;6.00;4.00;66.7;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;;Matches;62ba5881
94;Orestis Karnezis;gr GRE;GK;Napoli;it Serie A;33;1985;9;9;810;9.0;0.78;0.78;3.00;2.22;77.8;0.67;0.22;0.11;0.44;44.4;0.11;0.11;0.00;0.00;0.0;Matches;85b011bb
95;Eiji Kawashima;jp JPN;GK;Strasbourg;fr Ligue 1;35;1983;1;1;90;1.0;0.00;0.00;1.00;1.00;100.0;1.00;0.00;0.00;1.00;100.0;0.00;0.00;0.00;0.00;;Matches;a4527d33
96;Gregor Kobel;ch SUI;GK;Hoffenheim;de Bundesliga;20;1997;1;1;90;1.0;1.00;1.00;7.00;6.00;100.0;1.00;0.00;0.00;0.00;0.0;1.00;1.00;0.00;0.00;0.0;Matches;cd59b9df
97;Gregor Kobel;ch SUI;GK;Augsburg;de Bundesliga;20;1997;16;16;1390;15.4;2.73;2.72;6.04;3.31;55.9;0.26;0.13;0.65;0.19;18.8;0.13;0.06;0.06;0.00;50.0;Matches;cd59b9df
98;Tomáš Koubek;cz CZE;GK;Rennes;fr Ligue 1;25;1992;33;32;2925;32.5;1.48;1.48;4.25;2.77;67.4;0.31;0.34;0.34;0.28;28.1;0.12;0.09;0.03;0.00;25.0;Matches;dc366c36
99;Thomas Kraft;de GER;GK;Hertha BSC;de Bundesliga;30;1988;4;3;315;3.5;2.57;2.57;4.57;2.00;56.3;0.57;0.00;0.29;0.29;33.3;0.57;0.57;0.00;0.00;0.0;Matches;bb25c778
100;Alban Lafont;fr FRA;GK;Fiorentina;it Serie A;19;1999;34;34;3015;33.5;1.19;1.19;3.82;2.69;72.7;0.24;0.45;0.33;0.24;23.5;0.18;0.15;0.03;0.00;16.7;Matches;4e7db402
101;Benjamin Lecomte;fr FRA;GK;Montpellier;fr Ligue 1;27;1991;37;37;3330;37.0;1.14;1.14;3.86;2.76;72.7;0.41;0.35;0.24;0.30;29.7;0.14;0.08;0.03;0.03;25.0;Matches;2fa2a875
102;Bernd Leno;de GER;GK;Arsenal;eng Premier League;26;1992;32;31;2835;31.5;1.33;1.33;4.60;3.30;75.9;0.51;0.22;0.25;0.22;22.6;0.22;0.22;0.00;0.00;0.0;Matches;2628fd2b
103;Hugo Lloris;fr FRA;GK;Tottenham;eng Premier League;31;1986;33;33;2970;33.0;1.00;1.00;3.94;2.97;76.9;0.64;0.06;0.30;0.36;36.4;0.15;0.09;0.06;0.00;40.0;Matches;8f62b6ee
