;;;;;;;;Playing Time;Playing Time;Playing Time;;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Save%;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born;Playing Time MP;Playing Time Starts;Playing Time Min; 90s;Performance GA;Performance GA90;Performance SoTA;Performance Saves;Performance Save%;Performance W;Performance D;Performance L;Performance CS;Performance CS%;Penalty Kicks PKatt;Penalty Kicks PKA;Penalty Kicks PKsv;Penalty Kicks PKm;Penalty Kicks Save%; Matches;#NAME?
48;Aitor Fernández;es ESP;GK;Osasuna;es La Liga;31-313;1991;13;13;1170;13.0;0.77;0.77;3.46;2.69;77.8;0.38;0.38;0.23;0.46;46.2;0.00;0.00;0.00;0.00;;Matches;a01c3d54
49;Álvaro Fernández;es ESP;GK;Espanyol;es La Liga;24-333;1998;11;11;990;11.0;1.64;1.64;4.55;3.00;64.0;0.27;0.36;0.36;0.18;18.2;0.00;0.00;0.00;0.00;;Matches;f127d782
50;Fernando;es ESP;GK;Almería;es La Liga;32-275;1990;23;23;2025;22.5;1.69;1.69;5.60;3.91;71.4;0.31;0.18;0.53;0.09;8.7;0.18;0.09;0.04;0.04;33.3;Matches;dabb2827
51;Mark Flekken;nl NED;GK;Freiburg;de Bundesliga;29-272;1993;23;23;2070;23.0;1.39;1.39;4.61;3.22;74.5;0.52;0.26;0.22;0.43;43.5;0.26;0.22;0.00;0.04;0.0;Matches;a92ab7be
52;Yahia Fofana;fr FRA;GK;Angers;fr Ligue 1;22-203;2000;8;8;720;8.0;1.88;1.87;5.00;3.13;65.0;0.25;0.00;0.75;0.13;12.5;0.25;0.13;0.13;0.00;50.0;Matches;9d420dad
53;Fraser Forster;eng ENG;GK;Tottenham;eng Premier League;34-360;1988;6;6;540;6.0;1.33;1.33;3.50;2.33;61.9;0.50;0.17;0.33;0.33;33.3;0.17;0.00;0.17;0.00;100.0;Matches;c3e39f12
54;Gauthier Gallon;fr FRA;GK;Troyes;fr Ligue 1;29-323;1993;19;19;1710;19.0;2.26;2.26;5.26;3.11;61.0;0.16;0.26;0.58;0.00;0.0;0.21;0.21;0.00;0.00;0.0;Matches;db3164e1
55;Paulo Gazzaniga;ar ARG;GK;Girona;es La Liga;31-069;1992;14;14;1260;14.0;1.43;1.43;4.36;2.86;70.5;0.43;0.29;0.29;0.07;7.1;0.21;0.14;0.07;0.00;33.3;Matches;63d17038
56;David de Gea;es ESP;GK;Manchester Utd;eng Premier League;32-125;1990;25;25;2250;25.0;1.40;1.40;4.00;2.64;66.0;0.60;0.16;0.24;0.40;40.0;0.04;0.04;0.00;0.00;0.0;Matches;7ba6d84e
57;Rafa? Gikiewicz;pl POL;GK;Augsburg;de Bundesliga;35-137;1987;20;20;1800;20.0;1.75;1.75;6.05;4.20;71.1;0.40;0.05;0.55;0.25;25.0;0.10;0.00;0.10;0.00;100.0;Matches;17376543
58;Pierluigi Gollini;it ITA;GK;Fiorentina;it Serie A;27-359;1995;3;3;270;3.0;0.67;0.67;2.67;2.00;75.0;0.33;0.67;0.00;0.67;66.7;0.00;0.00;0.00;0.00;;Matches;f0f7f62f
59;Pierluigi Gollini;it ITA;GK;Napoli;it Serie A;27-359;1995;1;1;90;1.0;0.00;0.00;3.00;3.00;100.0;1.00;0.00;0.00;1.00;100.0;0.00;0.00;0.00;0.00;;Matches;f0f7f62f
